Application ID,Request ID,Financing Co.,Program,Inquiry Type,Decision,Application Date,Decision Date,Amount Requested,Credit Limit,Decision Reason,Purchase Date,Purchase Amount,Merchant Name,Applicant First Name,Applicant Last Name,DOB,Chart #
CA-100326,,CareCredit,Prime,Soft,Pending,8/3/2026,,$450.00,,,,,Sample Dental – Carson,Peyton,Dawson,3/23/2018,
PR-100327,,Proceed Finance,Prime,Soft,Pre-declined,8/3/2026,8/3/2026,$450.00,,Debt-to-income too high,,,Sample Dental – Carson,Peyton,Dawson,3/23/2018,
SU-100392,,Sunbit,Prime,Hard,Approved,8/3/2026,8/6/2026,$550.00,$700.00,,,,Sample Dental – Downey,Finley,Rasmussen,10/20/2004,
CH-100393,,Cherry,Prime,Hard,Pending,8/3/2026,,$550.00,,,,,Sample Dental – Carson,Remy,Ibarra,11/5/1956,
CA-100260,,CareCredit,Prime,Hard,Approved,8/4/2026,8/7/2026,"$1,750.00","$1,800.00",,8/17/2026,"$1,096.00",Sample Dental – West Covina,Emerson,Xu,5/8/2015,
CA-100356,,CareCredit,Prime,Hard,Pending,8/4/2026,,$450.00,,,,,Sample Dental – West Covina,Devon,Chen,8/15/1970,
CH-100282,,Cherry,Prime,Hard,Withdrawn,8/10/2026,,$300.00,,,,,Sample Dental – Downey,Marlow,Lindqvist,4/4/1953,
CH-100409,,Cherry,Prime,Hard,Approved,8/10/2026,8/11/2026,$300.00,$400.00,,,,Sample Dental – Carson,Taylor,Jensen,6/8/2000,
CH-100347,,Cherry,Prime,Soft,Prequalified,8/13/2026,8/16/2026,$400.00,$500.00,,8/29/2026,$408.00,Sample Dental – Carson,Quinn,Ueda,3/7/2020,
CA-100348,,CareCredit,Prime,Soft,Prequalified,8/13/2026,8/16/2026,$400.00,$400.00,,,,Sample Dental – Carson,Quinn,Ueda,3/7/2020,
SU-100259,,Sunbit,Prime,Hard,Funded,8/14/2026,8/14/2026,"$1,750.00","$2,100.00",,8/20/2026,"$1,755.00",Sample Dental – Carson,Elliot,Ibarra,11/22/1997,
AL-100269,,Alphaeon Credit,Prime,Hard,Funded,8/17/2026,8/17/2026,$300.00,$400.00,,8/22/2026,$251.00,Sample Dental – West Covina,Shiloh,Brooks,11/16/1976,
CA-100415,,CareCredit,Prime,Hard,Declined,8/17/2026,8/17/2026,$550.00,,Unable to verify income,,,Sample Dental – Carson,Reese,Nakamura,6/10/1944,
CA-100366,REQ-5011,CareCredit,Prime,Soft,Funded,8/20/2026,8/20/2026,$550.00,$800.00,,9/6/2026,$547.00,Sample Dental – West Covina,Hayden,Whitfield,3/19/1972,
CH-100367,REQ-5011,Cherry,Prime,Soft,Pending,8/20/2026,,$550.00,,,,,Sample Dental – West Covina,Hayden,Whitfield,3/19/1972,
AL-100368,REQ-5011,Alphaeon Credit,Prime,Soft,Pre-declined,8/20/2026,8/20/2026,$550.00,,Debt-to-income too high,,,Sample Dental – West Covina,Hayden,Whitfield,3/19/1972,
SU-100319,,Sunbit,Prime,Hard,Approved,8/22/2026,8/22/2026,$450.00,$600.00,,,,Sample Dental – West Covina,Sage,Mercer,4/27/1991,
CH-100371,REQ-5012,Cherry,Prime,Soft,Prequalified,8/22/2026,8/23/2026,$450.00,$500.00,,,,Sample Dental – Downey,Morgan,Chen,11/9/1972,
CA-100372,REQ-5012,CareCredit,Prime,Soft,Withdrawn,8/22/2026,,$450.00,,,,,Sample Dental – Downey,Morgan,Chen,11/9/1972,
CA-100278,,CareCredit,Prime,Soft,Prequalified,8/24/2026,8/24/2026,$450.00,$600.00,,9/6/2026,$541.00,Sample Dental – Carson,Bellamy,Chen,10/11/1968,
CH-100279,,Cherry,Prime,Soft,Prequalified,8/24/2026,8/24/2026,$450.00,$500.00,,,,Sample Dental – Carson,Bellamy,Chen,10/11/1968,
AL-100242,,Alphaeon Credit,Prime,Hard,Approved,8/28/2026,8/28/2026,$300.00,$300.00,,8/31/2026,$272.00,Sample Dental – Downey,Riley,Zamora,6/18/1995,
AL-100307,,Alphaeon Credit,Prime,Soft,Funded,8/30/2026,8/30/2026,$300.00,$400.00,,9/2/2026,$330.00,Sample Dental – West Covina,Rowan,Sato,9/2/1977,
PR-100308,,Proceed Finance,Prime,Soft,Pre-declined,8/30/2026,8/31/2026,$300.00,,Recent delinquency,,,Sample Dental – West Covina,Rowan,Sato,9/2/1977,
SU-100257,,Sunbit,Prime,Hard,Approved,9/2/2026,9/2/2026,"$1,750.00","$2,000.00",,,,Sample Dental – Carson,Taylor,Kimura,8/9/2003,
PR-100271,,Proceed Finance,Prime,Hard,Funded,9/2/2026,9/5/2026,$550.00,$600.00,,9/15/2026,$368.00,Sample Dental – Carson,Cameron,Lindqvist,11/5/1962,
CH-100276,,Cherry,Prime,Hard,Withdrawn,9/5/2026,,"$1,750.00",,,,,Sample Dental – West Covina,Riley,Sato,8/6/1977,
AL-100283,,Alphaeon Credit,Prime,Soft,Pre-declined,9/5/2026,9/5/2026,$550.00,,Recent delinquency,,,Sample Dental – Carson,Tatum,Vasquez,5/6/2005,
CA-100284,,CareCredit,Prime,Soft,Pre-declined,9/5/2026,9/5/2026,$550.00,,Recent delinquency,,,Sample Dental – Carson,Tatum,Vasquez,5/6/2005,4000150
SU-100400,,Sunbit,Prime,Hard,Funded,9/6/2026,9/6/2026,$550.00,$700.00,,,,Sample Dental – West Covina,Kendall,Ibarra,4/27/1969,
CH-100254,,Cherry,Prime,Soft,Prequalified,9/14/2026,9/14/2026,$550.00,$800.00,,,,Sample Dental – Carson,Reese,Dawson,9/26/1950,
SU-100255,,Sunbit,Prime,Soft,Pre-declined,9/14/2026,9/14/2026,$550.00,,Credit score below threshold,,,Sample Dental – Carson,Reese,Dawson,9/26/1950,
CA-100256,,CareCredit,Prime,Soft,Pre-declined,9/14/2026,9/14/2026,$550.00,,Recent delinquency,,,Sample Dental – Carson,Reese,Dawson,9/26/1950,
CA-100258,,CareCredit,Prime,Hard,Pending,9/15/2026,,$300.00,,,,,Sample Dental – Downey,Shiloh,Patel,6/5/1947,
AL-100232,,Alphaeon Credit,Prime,Hard,Declined,9/17/2026,9/17/2026,"$4,450.00",,Credit score below threshold,,,Sample Dental – Downey,Sage,Sato,7/3/1994,
SU-999003,,Sunbit,Prime,Hard,Kinda approved?,9/17/2026,9/17/2026,"$4,450.00",,Credit score below threshold,,,Sample Dental – Downey,Sage,Sato,7/3/1994,
AL-100277,,Alphaeon Credit,Prime,Hard,Approved,9/18/2026,9/18/2026,$300.00,$300.00,,,,Sample Dental – West Covina,Remy,Holloway,8/22/2009,
AL-100375,,Alphaeon Credit,Prime,Soft,Pre-declined,9/18/2026,9/18/2026,"$2,950.00",,Credit score below threshold,,,Sample Dental – West Covina,Wren,Escobar,4/10/1992,
CA-100376,,CareCredit,Prime,Soft,Pending,9/18/2026,,"$2,950.00",,,,,Sample Dental – West Covina,Wren,Escobar,4/10/1992,
HF-100233,,HFD,SubPrime,Hard,Approved,9/19/2026,9/19/2026,"$4,450.00","$5,100.00",,,,Sample Dental – Downey,Sage,Sato,7/3/1994,
CO-100377,,Covered Care,SubPrime,Hard,Declined,9/19/2026,9/22/2026,"$2,950.00",,Credit score below threshold,,,Sample Dental – West Covina,Wren,Escobar,4/10/1992,
